Collect    ,Sampling,Time ,TEMP,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,Location Description,Lat,Lon,geometry
2020-02-03 00:00:00,WW_109,910.0,5.0,11.17,7.8,4.32,<0.3,<1,0.797,992,19,4,3,<0.005,1100,8.1,433.883,0.285,73.305,227.3,<0.002,0.04558,0.00313,0.05084,0.04414,0.00297,0.01668,<0.5,92.64,37.0,384,0.1023,Salt Creek @ Brookfield Ave.,41.82283333,-87.84156667,POINT (-87.84156667 41.82283333)
2020-02-03 00:00:00,WW_22,940.0,4.0,11.78,8,2.923,<0.3,<1,0.361,902,13,<4,2.9,<0.005,820,5.3,333.009,0.26,61.556,244.2,0.00111,0.04461,0.00226,0.04365,0.03524,0.00217,0.01286,<0.5,90.88,38.89,387,0.08869,Des Plaines River @ Ogden Ave.,41.82093333,-87.8109,POINT (-87.8109 41.82093333)
2020-02-03 00:00:00,WW_23,1030.0,4.0,11.28,8,3.062,<0.3,<1,0.324,960,8,<4,2.8,<0.005,680,5.8,341.774,0.263,62.946,251.9,0.00115,0.04318,0.00219,0.04028,0.03779,0.00215,0.01304,<0.5,87.71,37.46,373,0.08496,Des Plaines River @ Willow Springs Rd.,41.73564167,-87.88147778,POINT (-87.88147778 41.73564167)
2020-02-03 00:00:00,WW_91,1120.0,5.0,11.95,8,3.004,<0.3,<1,0.303,924,7,<4,2.8,<0.005,120,5.5,353.715,0.258,62.007,252.5,0.00116,0.04403,0.00233,0.04446,0.03513,0.00197,0.01154,<0.5,88.26,38.11,377,0.08443,Des Plaines River @ Material Service Rd.,41.59656667,-88.06853333,POINT (-88.06853333 41.59656667)
2020-02-03 00:00:00,WW_92,1150.0,7.0,8.47,7.4,4.77,<0.3,<1,0.543,862,<4,<4,3.4,0.006,130,1.8,281.213,0.44,90.999,186.8,0.00163,0.02976,0.00211,0.04021,0.02341,0.00306,0.01973,1.02,74.07,27.79,299,0.14832,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
2020-02-10 00:00:00,WW_112,950.0,2.0,15.67,8.1,0.54,<0.3,<1,<0.15,T/X,6,4,1.9,<0.005,<10,49.5,353.726,0.208,76.163,171.6,<0.002,0.03251,0.00192,0.02826,0.01022,0.0013,0.01136,0.855,68.21,24.4,271,0.06323,North Shore Channel @ Dempster St.,42.04098056,-87.70971944,POINT (-87.70971944 42.04098056)
2020-02-10 00:00:00,WW_36,1020.0,10.0,9.95,7.3,6.447,2.057,2.855,1.487,T/X,8,6,2.5,0.012,16000,<1.0,851.405,0.456,55.899,158.2,<0.002,0.03692,0.00407,0.04118,0.01769,0.00396,0.0296,0.962,70.99,24.54,278,0.14472,North Shore Channel @ Touhy Ave.,42.01193611,-87.71043611,POINT (-87.71043611 42.01193611)
2020-02-10 00:00:00,WW_96,1050.0,3.0,13.31,8.1,2.45,<0.3,<1,0.232,T/X,7,<4,2,0.006,1200,2.9,683.119,0.219,56.165,252.6,<0.002,0.04963,0.00283,0.3012,0.06445,0.00162,0.0115,1.483,87.22,36.89,370,0.0724,North Branch Chicago River @ Albany Ave.,41.97428333,-87.70614444,POINT (-87.70614444 41.97428333)
2020-02-10 00:00:00,WW_73,1155.0,8.0,8.81,7.4,7.855,1.942,3.117,1.257,T/X,5,<4,3.2,<0.005,8600,<1.0,310.896,0.482,57.046,196,<0.002,0.03649,0.00266,0.04034,0.01805,0.00361,0.02234,0.879,76.33,29.21,311,0.13038,North Branch Chicago River @ Diversey Ave.,41.93235833,-87.68288333,POINT (-87.68288333 41.93235833)
2020-02-10 00:00:00,WW_92,1330.0,6.0,8.79,7.5,5.58,0.392,<1,0.682,T/X,8,<4,3.6,0.005,140,1.2,284.978,0.496,90.167,190.6,0.00145,0.03016,0.00225,0.17296,0.02497,0.00338,0.02153,1.837,73.85,27.35,297,0.16974,Chicago Sanitary & Ship Canal @ Lockport Powerhouse Forebay,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889)
2020-02-10 00:00:00,WW_37,1120.0,8.0,9.75,7.4,4.645,4.335,5.312,1.375,T/X,4,<4,2.5,0.01,21000,1,771.731,0.433,58.993,205.2,<0.002,0.03974,0.0032,0.0461,0.03059,0.00345,0.02302,1.053,77.65,29.03,313,0.12997,North Branch Chicago River @ Wilson Ave.,41.96484722,-87.69722778,POINT (-87.69722778 41.96484722)
2020-02-18 00:00:00,WW_100,918.0,5.0,10.66,6.9,4.908,0.341,<1,0.602,846,4,<4,2.2,0.005,680,2.7,380.559,0.329,44.978,156,<0.002,0.03059,0.00358,0.02036,0.01241,0.00248,0.01309,0.507,60.62,21.97,242,0.07725,Chicago River Main Stem @ Wells St.,41.88750278,-87.63414167,POINT (-87.63414167 41.88750278)
2020-02-18 00:00:00,WW_108,1019.0,3.0,11.13,6.8,5.183,0.387,<1,0.653,972,7,<4,2.1,0.006,750,2.2,452.302,0.338,47.266,158.5,<0.002,0.03148,0.00328,0.02177,0.01274,0.00249,0.01162,1.064,61.37,22.41,246,0.08136,South Branch Chicago River @ Loomis St.,41.8459,-87.66064167,POINT (-87.66064167 41.8459)
